id,cfname,namefaci,region,region_psgc,province,province_psgc,city_mun,city_mun_psgc,north_coord,east_coord,updateddate,addeddate,reportdate,ibc,mechvent_facown,mechven_outsrc,swab_tr,swab_untr,spec_stor,spec_stor_temp,spec_trans,spec_trans_temp,ipc_fac_mng,ipc_safety_ofc,ipc_officer,ipc_zoning,ipc_pt_place,ipc_tempcheck,ipc_symptom,ipc_WHO,ipc_disinfect,ipc_waste,ipc_exitentrance,ipc_dedicatedhcw,ipc_rtw,ipc_training,ipc_transport,phic_irm
1313,TORRIJOS MUNICIPAL HOSPITAL,TORRIJOS MUNICIPAL HOSPITAL,REGION IV-B (MIMAROPA),PH170000000,MARINDUQUE,PH174000000,TORRIJOS,PH174006000,0.0,0.0,2020-07-30 15:34:48,2020-07-30 15:34:48,2020-07-30 00:00:00,10,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0
1416,CATARMAN DOCTORS HOSPITAL INC,"CATARMAN DOCTORS HOSPITAL, INC.",REGION VIII (EASTERN VISAYAS),PH080000000,NORTHERN SAMAR,PH084800000,CATARMAN (CAPITAL),PH084805000,0.0,0.0,2020-08-07 15:00:51,2020-08-07 15:00:51,2020-08-07 00:00:00,41,2,2,2,0,0,0,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
539,DR. DAMIAN REYES PROVINCIAL HOSPITAL,MARINDUQUE PROVINCIAL HOSPITAL,REGION IV-B (MIMAROPA),PH170000000,MARINDUQUE,PH174000000,BOAC (CAPITAL),PH174001000,0.0,0.0,2020-07-03 15:31:09,2020-07-03 15:31:09,2020-07-03 00:00:00,109,0,2,0,9,1,1,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1359,Batanes General Hospital,BATANES GENERAL HOSPITAL,REGION II (CAGAYAN VALLEY),PH020000000,BATANES,PH020900000,BASCO (CAPITAL),PH020901000,0.0,0.0,2020-07-31 12:29:18,2020-07-31 12:29:18,2020-07-31 00:00:00,68,2,0,2,3,1,1,0,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
1044,DAVAO ORIENTAL PROV'L HOSP- GOV. GENEROSO,DAVAO ORIENTAL PROVINCIAL HOSPITAL-GOVERNOR GENEROSO,REGION XI (DAVAO REGION),PH110000000,DAVAO ORIENTAL,PH112500000,GOVERNOR GENEROSO,PH112506000,0.0,0.0,2020-07-13 10:03:31,2020-07-13 10:03:31,2020-07-13 00:00:00,35,0,0,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
322,ALBOR DISTRICT HOSPITAL,ALBOR DISTRICT HOSPITAL,REGION XIII (CARAGA),PH160000000,DINAGAT ISLANDS,PH168500000,LIBJO (ALBOR),PH168504000,0.0,0.0,2020-07-03 09:03:33,2020-07-03 09:03:33,2020-07-03 00:00:00,22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1017,ST. THERESA WELLNESS CENTER,ST. THERESA WELLNESS CENTER,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,ABRA,PH140100000,DOLORES,PH140107000,0.0,0.0,2020-07-11 19:32:36,2020-07-11 19:32:36,2020-07-11 00:00:00,12,0,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
389,DR. CATALINO GALLEGO NAVA PROVINCIAL HOSPITAL,DR. CATALINO GALLEGO NAVA PROVINCIAL HOSPITAL,REGION VI (WESTERN VISAYAS),PH060000000,GUIMARAS,PH067900000,JORDAN (CAPITAL),PH067902000,0.0,0.0,2020-07-03 10:24:11,2020-07-03 10:24:11,2020-07-03 00:00:00,100,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
835,SULTAN NAGA DIMAPORO PROVINCIAL HOSPITAL,SULTAN NAGA DIMAPORO PROVINCIAL HOSPITAL,REGION X (NORTHERN MINDANAO),PH100000000,LANAO DEL NORTE,PH103500000,SULTAN NAGA DIMAPORO (KAROMATAN),PH103506000,0.0,0.0,2020-07-07 15:21:57,2020-07-07 15:21:57,2020-07-07 00:00:00,20,0,0,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
168,JIMENEZ MEDICARE COMMUNITY HOSPITAL,JIMENEZ MEDICARE COMMUNITY HOSPITAL,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS OCCIDENTAL,PH104200000,JIMENEZ,PH104207000,0.0,0.0,2020-07-02 15:20:54,2020-07-02 15:20:54,2020-07-02 00:00:00,130,0,0,1,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
473,ASENTISTA DOCTORS HOSPITAL AND LABORATORY,ASENTISTA DOCTORS HOSPITAL AND LABORATORY,REGION X (NORTHERN MINDANAO),PH100000000,LANAO DEL NORTE,PH103500000,LALA,PH103509000,0.0,0.0,2020-07-03 13:14:25,2020-07-03 13:14:25,2020-07-03 00:00:00,21,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1054,AWUYON COMMUNITY MUNICIPAL HOSPITAL (FORMERLY:BAGANGA INFIRM,AWUYON COMMUNITY MUNICIPAL HOSPITAL,REGION XI (DAVAO REGION),PH110000000,DAVAO ORIENTAL,PH112500000,BAGANGA,PH112501000,0.0,0.0,2020-07-13 14:30:59,2020-07-13 14:30:59,2020-07-13 00:00:00,15,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
328,ALLEN DISTRICT HOSPITAL,ALLEN DISTRICT HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,NORTHERN SAMAR,PH084800000,ALLEN,PH084801000,0.0,0.0,2020-07-03 09:14:00,2020-07-03 09:14:00,2020-07-03 00:00:00,50,0,0,2,0,1,1,0,8,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
404,RANAO FAMILY MEDICAL CLINIC,RANAO FAMILY MEDICAL CLINIC,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,MARAWI CITY (CAPITAL),PH153617000,0.0,0.0,2020-07-03 10:44:23,2020-07-03 10:44:23,2020-07-03 00:00:00,12,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1
833,VALERA MEDICAL HOSPITAL,VALERA MEDICAL HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,ABRA,PH140100000,BANGUED (CAPITAL),PH140101000,0.0,0.0,2020-07-07 14:59:36,2020-07-07 14:59:36,2020-07-07 00:00:00,15,0,0,1,2,1,1,3,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
27,NUEVA VALENCIA DISTRICT HOSPITAL,NUEVA VALENCIA DISTRICT HOSPITAL,REGION VI (WESTERN VISAYAS),PH060000000,GUIMARAS,PH067900000,NUEVA VALENCIA,PH067903000,0.0,0.0,2020-07-02 10:04:06,2020-07-02 10:04:06,2020-07-02 00:00:00,15,0,0,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1154,RODOLFO MORALES MED. CLIN.,RODOLFO MORALES MEDICAL CLINIC,REGION XI (DAVAO REGION),PH110000000,DAVAO OCCIDENTAL,PH118600000,SANTA MARIA,PH118604000,0.0,0.0,2020-07-16 11:20:32,2020-07-16 11:20:32,2020-07-16 00:00:00,15,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0
553,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,ABRA,PH140100000,BANGUED (CAPITAL),PH140101000,0.0,0.0,2020-07-07 16:45:28,2020-07-03 15:50:14,2020-07-07 00:00:00,17,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
897,DOLORES MEDICARE AND COMMUNITY HOSPITAL,DOLORES MEDICARE AND COMMUNITY HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,ABRA,PH140100000,DOLORES,PH140107000,0.0,0.0,2020-07-08 15:23:40,2020-07-08 15:23:40,2020-07-08 00:00:00,10,0,0,2,0,1,1,1,6,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
357,BASILAN COMMUNITY HOSPITAL,"BASILAN COMMUNITY HOSPITAL, INC.",REGION IX (ZAMBOANGA PENINSULA),PH090000000,CITY OF ISABELA (NOT A PROVINCE),PH099700000,CITY OF ISABELA,PH099701000,0.0,0.0,2020-07-03 09:37:09,2020-07-03 09:37:09,2020-07-03 00:00:00,39,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
535,BULUAN DISTRICT HOSPITAL,BULUAN DISTRICT HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BULUAN,PH153803000,0.0,0.0,2020-07-03 15:20:34,2020-07-03 15:20:34,2020-07-03 00:00:00,100,0,0,2,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
957,STA. MARIA MEDICAL CLINIC & HOSPITAL,STA. MARIA MEDICAL CLINIC AND HOSPITAL,REGION XI (DAVAO REGION),PH110000000,DAVAO OCCIDENTAL,PH118600000,SANTA MARIA,PH118604000,0.0,0.0,2020-07-10 10:06:53,2020-07-10 10:06:53,2020-07-10 00:00:00,10,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
1268,GOZO COMMUNITY HOSPITAL,GOZO COMMUNITY HOSPITAL,REGION X (NORTHERN MINDANAO),PH100000000,LANAO DEL NORTE,PH103500000,LALA,PH103509000,0.0,0.0,2020-07-27 19:43:28,2020-07-27 19:43:28,2020-07-27 00:00:00,21,0,0,0,0,0,0,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
255,TONGKIL MUNICIPAL HOSPITAL,TONGKIL MUNICIPAL HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,TONGKIL,PH156615000,0.0,0.0,2020-07-02 18:38:14,2020-07-02 18:38:14,2020-07-02 00:00:00,10,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
881,BUCAY MUNICIPAL HOSPITAL,BUCAY MUNICIPAL HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,ABRA,PH140100000,BUCAY,PH140103000,0.0,0.0,2020-07-08 11:48:56,2020-07-08 11:48:56,2020-07-08 00:00:00,10,0,0,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0
358,CALBAYOG DISTRICT HOSPITAL,CALBAYOG DISTRICT HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,CALBAYOG CITY,PH086003000,0.0,0.0,2020-07-03 09:37:10,2020-07-03 09:37:10,2020-07-03 00:00:00,85,1,0,2,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1451,Basilan General Hospital             ,BASILAN GENERAL HOSPITAL,REGION IX (ZAMBOANGA PENINSULA),PH090000000,CITY OF ISABELA (NOT A PROVINCE),PH099700000,CITY OF ISABELA,PH099701000,0.0,0.0,2020-08-28 06:35:45,2020-08-28 06:35:45,2020-08-28 00:00:00,39,2,0,16,0,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
991,SULU PROVINCIAL HOSPITAL,SULU PROVINCIAL HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,JOLO (CAPITAL),PH156602000,0.0,0.0,2020-07-10 15:44:25,2020-07-10 15:44:25,2020-07-10 00:00:00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1327,LANAO DEL NORTE PROVINCIAL HOSPITAL,LANAO DEL NORTE PROVINCIAL HOSPITAL,REGION X (NORTHERN MINDANAO),PH100000000,LANAO DEL NORTE,PH103500000,BAROY,PH103503000,0.0,0.0,2020-07-31 07:30:56,2020-07-31 07:30:56,2020-07-31 00:00:00,100,0,0,0,3,0,0,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
883,CATBALOGAN DOCTORS HOSPITAL,CATBALOGAN DOCTORS HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,CITY OF CATBALOGAN (CAPITAL),PH086005000,0.0,0.0,2020-07-08 12:51:40,2020-07-08 12:51:40,2020-07-08 00:00:00,100,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1123,DAVO ORIENTAL PROV'L HOSP.-CATEEL,DAVAO ORIENTAL PROVINCIAL HOSPITAL-CATEEL,REGION XI (DAVAO REGION),PH110000000,DAVAO ORIENTAL,PH112500000,CATEEL,PH112505000,0.0,0.0,2020-07-15 13:31:50,2020-07-15 13:31:50,2020-07-15 00:00:00,30,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
509,WAO DISTRICT HOSPITAL,WAO DISTRICT HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,WAO,PH153630000,0.0,0.0,2020-07-03 14:23:54,2020-07-03 14:23:54,2020-07-03 00:00:00,30,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
884,MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS OCCIDENTAL,PH104200000,OROQUIETA CITY (CAPITAL),PH104209000,0.0,0.0,2020-07-08 13:19:26,2020-07-08 13:19:26,2020-07-08 00:00:00,159,2,0,0,6,0,0,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,UNAYAN MUNICIPAL HOSPITAL,UNAYAN MUNICIPAL HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,BINIDAYAN,PH153605000,0.0,0.0,2020-07-11 10:08:36,2020-07-11 10:08:36,2020-07-11 00:00:00,15,0,0,1,2,1,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1119,ESTACION MED. CLINIC & HOSP.,ESTACION MEDICAL CLINIC AND HOSPITAL,REGION XI (DAVAO REGION),PH110000000,DAVAO OCCIDENTAL,PH118600000,MALITA (CAPITAL),PH118603000,0.0,0.0,2020-07-15 13:11:39,2020-07-15 13:11:39,2020-07-15 00:00:00,18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
910,BUENAVISTA EMERGENCY HOSPITAL,BUENAVISTA EMERGENCY HOSPITAL,REGION VI (WESTERN VISAYAS),PH060000000,GUIMARAS,PH067900000,BUENAVISTA,PH067901000,0.0,0.0,2020-07-08 21:37:24,2020-07-08 21:37:24,2020-07-08 00:00:00,21,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
518,ST. SCHOLASTICA'S HOSPITAL,ST. SCHOLASTICA'S HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,NORTHERN SAMAR,PH084800000,PAMBUJAN,PH084815000,0.0,0.0,2020-07-03 14:43:19,2020-07-03 14:43:19,2020-07-03 00:00:00,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1354,AGLIPAY DISTRICT HOSPITAL,AGLIPAY DISTRICT HOSPITAL,REGION II (CAGAYAN VALLEY),PH020000000,QUIRINO,PH025700000,AGLIPAY,PH025701000,0.0,0.0,2020-07-31 11:36:01,2020-07-31 11:36:01,2020-07-31 00:00:00,15,0,0,0,0,0,0,0,4,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
469,MANANGAN CLINIC AND HOSPITAL,MANANGAN CLINIC AND HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,BULUAN,PH153803000,0.0,0.0,2020-07-03 13:04:19,2020-07-03 13:04:19,2020-07-03 00:00:00,25,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0
1205,"ST. CAMILLUS HOSP OF MATI FOUNDATION, INC.","ST. CAMILLUS HOSPITAL OF MATI FOUNDATION, INC.",REGION XI (DAVAO REGION),PH110000000,DAVAO ORIENTAL,PH112500000,CITY OF MATI (CAPITAL),PH112509000,0.0,0.0,2020-07-20 10:40:25,2020-07-20 10:40:25,2020-07-20 00:00:00,30,0,0,1,0,1,1,4,30,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
677,LUIS HORA MEMORIAL REGIONAL HOSPITAL,LUIS HORA MEMORIAL REGIONAL HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,MOUNTAIN PROVINCE,PH144400000,BAUKO,PH144402000,0.0,0.0,2020-07-04 15:42:31,2020-07-04 15:42:31,2020-07-04 00:00:00,150,8,0,8,4,1,1,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1377,ITBAYAT DISTRICT HOSPITAL,ITBAYAT DISTRICT HOSPITAL,REGION II (CAGAYAN VALLEY),PH020000000,BATANES,PH020900000,ITBAYAT,PH020902000,0.0,0.0,2020-07-31 16:27:32,2020-07-31 16:27:32,2020-07-31 00:00:00,33,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
797,"PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, BALER AURORA, INC.","PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, INC. BALER- AURORA",REGION III (CENTRAL LUZON),PH030000000,AURORA,PH037700000,BALER (CAPITAL),PH037701000,0.0,0.0,2020-07-07 11:03:10,2020-07-07 11:03:10,2020-07-07 00:00:00,30,2,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1455,LUUK DISTRICT HOSPITAL,LUUK DISTRICT HOSPITAL,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,SULU,PH156600000,LUUK,PH156604000,0.0,0.0,2020-08-31 09:47:34,2020-08-31 09:47:34,2020-08-31 00:00:00,30,0,0,2,2,1,1,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1470,DINAGAT DISTRICT HOSPITAL,DINAGAT DISTRICT HOSPITAL,REGION XIII (CARAGA),PH160000000,DINAGAT ISLANDS,PH168500000,DINAGAT,PH168503000,0.0,0.0,2020-09-07 16:02:45,2020-09-07 16:02:45,2020-09-07 00:00:00,36,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0
545,COTABATO SANITARIUM,COTABATO SANITARIUM,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,MAGUINDANAO,PH153800000,SULTAN KUDARAT (NULING),PH153812000,0.0,0.0,2020-07-03 15:39:16,2020-07-03 15:39:16,2020-07-03 00:00:00,180,1,0,0,0,1,1,3,11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
949,DIFFUN DISTRICT HOSPITAL,DIFFUN DISTRICT HOSPITAL,REGION II (CAGAYAN VALLEY),PH020000000,QUIRINO,PH025700000,DIFFUN,PH025703000,0.0,0.0,2020-07-10 08:54:34,2020-07-10 08:54:34,2020-07-10 00:00:00,20,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
433,MAASIM MUNICIPAL HOSPITAL,MAASIM MUNICIPAL HOSPITAL,REGION XII (SOCCSKSA RGEN),PH120000000,SARANGANI,PH128000000,MAASIM,PH128004000,0.0,0.0,2020-07-03 11:38:45,2020-07-03 11:38:45,2020-07-03 00:00:00,32,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1002,BARLIG DISTRICT HOSPITAL,BARLIG DISTRICT HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,MOUNTAIN PROVINCE,PH144400000,BARLIG,PH144401000,0.0,0.0,2020-07-11 09:43:00,2020-07-11 09:43:00,2020-07-11 00:00:00,25,0,0,1,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,SAMAR PROVINCIAL HOSPITAL,SAMAR PROVINCIAL HOSPITAL,REGION VIII (EASTERN VISAYAS),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,CITY OF CATBALOGAN (CAPITAL),PH086005000,0.0,0.0,2020-07-02 15:50:09,2020-07-02 15:50:09,2020-07-02 00:00:00,186,2,0,0,3,0,0,3,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1476,TAMPARAN MEDICAL FOUNDATION INC. HOSPITAL,"TAMPARAN MEDICAL FOUNDATION, INC. HOSPITAL",AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH150000000,LANAO DEL SUR,PH153600000,TAMPARAN,PH153626000,0.0,0.0,2020-09-11 14:52:42,2020-09-11 14:52:42,2020-09-11 00:00:00,63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1034,DVO. ORIENTAL PROV'L HOSP.- LUPON,DAVAO ORIENTAL PROVINCIAL HOSPITAL-LUPON,REGION XI (DAVAO REGION),PH110000000,DAVAO ORIENTAL,PH112500000,LUPON,PH112507000,0.0,0.0,2020-07-12 13:01:42,2020-07-12 13:01:42,2020-07-12 00:00:00,10,0,0,2,0,0,0,2,5,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
553,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,CORDILLERA ADMINISTRA TIVE REGION (CAR),PH140000000,ABRA,PH140100000,BANGUED (CAPITAL),PH140101000,0.0,0.0,2020-07-03 15:50:14,2020-07-03 15:50:14,2020-07-03 00:00:00,18,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1400,LORETO DISTRICT HOSPITAL,LORETO DISTRICT HOSPITAL,REGION XIII (CARAGA),PH160000000,DINAGAT ISLANDS,PH168500000,LORETO,PH168505000,0.0,0.0,2020-08-04 16:08:25,2020-08-04 16:08:25,2020-08-04 00:00:00,20,0,0,2,0,1,1,2,4,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0
